amount,oldbalanceOrg,oldbalanceDest,isFraud,isFlaggedFraud for Operations,Time,Instrument or Mode_CREDIT-CARD,Instrument or Mode_DEBIT-CARD,Instrument or Mode_WIRE-TRANSFER,type_DEBIT,type_PAYMENT,type_TRANSFER,AML Risk Rating,Type of Account,Sanctions,Date_28,Date_29,Country of Domicile_US
0.00012108512689721299,0.0008644249705714887,0.0,0,0,0.9395833333333333,1,0,0,0,1,0,0,0,0,1,0,1
0.0009302959749501818,0.0016196243305667754,0.0,0,1,0.9180555555555556,1,0,0,0,1,0,0,1,0,0,0,0
0.055328009983754464,0.019372623286760638,0.35817499453551915,0,1,0.2034722222222222,0,0,1,0,0,1,0,1,0,0,1,1
0.013411638055396682,0.5526650289285077,0.8469945355191257,0,1,0.5305555555555556,0,0,0,0,0,0,2,0,0,1,0,1
0.0008945339374715665,0.0010126431163640353,0.0,0,1,0.3229166666666667,1,0,0,0,1,0,0,1,0,0,1,1
0.00024348725517464343,0.0004269798886115828,0.0,0,0,0.3541666666666667,1,0,0,0,1,0,1,0,0,0,0,1
0.0010112060597439508,0.0046715584339574595,0.0,0,1,0.7916666666666666,1,0,0,0,1,0,2,1,0,0,0,1
2.2280023349464472e-05,0.007654474974815706,0.0,0,0,0.9847222222222222,1,0,0,0,1,0,1,0,0,0,0,1
0.01043244993320753,0.019372623286760638,0.010582704371584699,0,1,0.38680555555555557,0,0,0,0,0,0,1,0,0,0,0,1
0.06270011670972231,0.019372623286760638,0.24714538907103825,0,1,0.8562500000000001,0,0,1,0,0,1,0,0,0,0,0,1
0.018433689318506405,0.24523227574156553,0.5080862393442622,0,1,0.4618055555555556,0,0,0,0,0,0,2,1,0,1,0,1
0.008400401803621092,0.32599372010879146,1.0,0,1,0.48333333333333334,0,0,0,0,0,0,0,0,0,0,0,1
0.011434520983377992,0.019372623286760638,0.023936551912568306,0,1,0.26805555555555555,0,0,0,0,0,0,2,0,0,0,1,1
0.01419074287189853,0.019372623286760638,0.5683060109289617,0,1,0.08472222222222221,0,0,0,0,0,0,2,1,0,0,1,1
0.002054082152678096,0.0009389216432214036,0.0,0,1,0.59375,1,0,0,0,1,0,0,0,0,1,0,1
0.0021117962131624313,0.0013638550051337586,0.0055955737704918036,0,1,0.6951388888888889,0,0,0,0,0,0,1,1,0,1,0,1
0.007724281095046589,7.72214989180153e-05,0.025761967213114755,0,1,0.9041666666666667,0,0,0,0,0,0,0,0,0,1,0,1
7.686008054936442e-06,0.0016292368044570872,0.0,0,0,0.29375,1,0,0,0,1,0,2,0,0,1,0,1
0.00078299082057438,0.001139803742740741,0.0,0,1,0.6118055555555556,1,0,0,0,1,0,1,0,0,0,0,0
0.0276205739463615,0.5315222615980505,0.017031188524590166,0,1,0.8569444444444444,0,0,0,0,0,0,2,1,0,1,0,1
0.0005037415279211214,0.0018207110827560358,0.0,0,1,0.4576388888888889,1,0,0,0,1,0,2,1,0,1,0,1
0.0011678122238672106,7.643467141812285e-05,0.0,0,1,0.024305555555555556,1,0,0,0,1,0,0,1,0,0,0,1
0.012354126947125042,0.9457360344901765,0.013057814207650273,0,1,0.5513888888888888,0,0,0,0,0,0,1,0,0,1,0,1
0.020223634194368633,0.5275361384444305,0.013042459016393443,0,1,0.5263888888888889,0,0,0,0,0,0,0,0,0,1,0,1
0.0024202815364550503,0.003226612909164835,0.0,0,1,0.2902777777777778,1,0,0,0,1,0,1,0,0,1,0,1
0.0006978087313035506,0.000794114375260903,0.0,0,1,0.6,1,0,0,0,1,0,1,1,0,0,0,1
0.000286820300587675,1.1240392855606301e-05,0.0,0,0,0.1326388888888889,1,0,0,0,1,0,2,1,0,0,1,1
0.005497893761792662,0.0016458260739129474,0.0023964967213114755,0,1,0.34097222222222223,0,0,0,0,0,0,0,0,0,0,0,1
0.026164156420035927,0.019372623286760638,0.3252675355191257,0,1,0.9604166666666667,0,0,0,0,0,0,2,1,0,1,0,1
0.0012508133108523499,0.019372623286760638,0.0,0,1,0.0020833333333333333,1,0,0,0,1,0,1,0,0,1,0,1
0.0037383299177697533,0.001610351394060654,0.0038909049180327867,0,1,0.27638888888888885,0,0,0,0,0,0,0,1,0,1,0,1
0.05214282364567918,0.019372623286760638,0.08525092021857925,0,1,0.8090277777777778,0,0,0,0,0,0,1,0,0,0,0,1
0.0004031294224796348,0.0004627941058480663,0.0,0,0,0.37083333333333335,1,0,0,0,1,0,1,0,0,0,1,1
1.899901991097287e-05,0.002399707594745853,0.0,0,0,0.17430555555555557,1,0,0,0,1,0,0,1,0,0,0,1
4.841605074002117e-05,0.00016751286152882523,0.0,0,0,0.6895833333333333,1,0,0,0,1,0,2,1,0,0,0,1
0.0024250795414833596,0.00046488714451773094,0.0,0,1,0.9180555555555556,1,0,0,0,1,0,0,0,0,0,0,0
0.011752662316790109,0.6878534872931236,0.01683476174863388,0,1,0.5388888888888889,0,0,0,0,0,0,1,1,0,1,0,1
0.023076749184433146,0.7061157078288561,0.026484467213114753,0,1,0.47500000000000003,0,0,0,0,0,0,0,1,0,0,1,1
0.0003355353516410485,0.0006934159592648163,0.0,0,0,0.45069444444444445,1,0,0,0,1,0,1,0,0,0,0,1
0.003390559553306412,0.017887728630559683,0.5628415300546448,0,1,0.63125,0,0,1,0,0,1,1,0,0,0,0,1
0.0014756365464671007,0.019372623286760638,0.0,0,1,0.03125,1,0,0,0,1,0,0,1,0,0,1,1
0.01177605934131019,0.6269146261154637,0.014575146994535519,0,1,0.8638888888888889,0,0,0,0,0,0,0,0,0,1,0,1
0.005056022298711369,4.108557388600924e-06,0.0,0,1,0.6444444444444445,0,0,1,0,0,1,0,0,0,1,0,1
